rsi_oversold,rsi_overbought,volume_threshold,use_volume_filter,total_trades,win_rate,profit_factor,total_return,sharpe,avg_win,avg_loss
35,65,1.5,False,760,0.4144736842105263,0.6577678588284821,-0.8708756626470875,-2.356116622280503,0.00531370517085324,0.005718410767339006
35,65,1.0,False,760,0.4144736842105263,0.6577678588284821,-0.8708756626470875,-2.356116622280503,0.00531370517085324,0.005718410767339006
35,65,1.2,False,760,0.4144736842105263,0.6577678588284821,-0.8708756626470875,-2.356116622280503,0.00531370517085324,0.005718410767339006
35,70,1.0,False,720,0.40694444444444444,0.6525605643082463,-0.8587682257850107,-2.3974340133828878,0.005504907943174097,0.005788539234508246
35,70,1.5,False,720,0.40694444444444444,0.6525605643082463,-0.8587682257850107,-2.3974340133828878,0.005504907943174097,0.005788539234508246
35,70,1.2,False,720,0.40694444444444444,0.6525605643082463,-0.8587682257850107,-2.3974340133828878,0.005504907943174097,0.005788539234508246
35,75,1.5,False,659,0.40971168437025796,0.6486335765926275,-0.7896059719407408,-2.4089827845462644,0.005398658152428498,0.005776976023384153
35,75,1.0,False,659,0.40971168437025796,0.6486335765926275,-0.7896059719407408,-2.4089827845462644,0.005398658152428498,0.005776976023384153
35,75,1.2,False,659,0.40971168437025796,0.6486335765926275,-0.7896059719407408,-2.4089827845462644,0.005398658152428498,0.005776976023384153
30,75,1.5,False,574,0.4146341463414634,0.6183421017468308,-0.7719281452731612,-2.665070147915233,0.0052547793239032525,0.006019540548696832
30,75,1.2,False,574,0.4146341463414634,0.6183421017468308,-0.7719281452731612,-2.665070147915233,0.0052547793239032525,0.006019540548696832
30,75,1.0,False,574,0.4146341463414634,0.6183421017468308,-0.7719281452731612,-2.665070147915233,0.0052547793239032525,0.006019540548696832
25,70,1.0,False,584,0.3904109589041096,0.6085892343271874,-0.7959956445550911,-2.751518979916962,0.005428343772460107,0.005712522541224706
25,70,1.2,False,584,0.3904109589041096,0.6085892343271874,-0.7959956445550911,-2.751518979916962,0.005428343772460107,0.005712522541224706
25,70,1.5,False,584,0.3904109589041096,0.6085892343271874,-0.7959956445550911,-2.751518979916962,0.005428343772460107,0.005712522541224706
30,70,1.0,False,650,0.4046153846153846,0.6065987694265621,-0.8967447004476594,-2.7790270462966506,0.005257495155245278,0.005890092832757538
30,70,1.5,False,650,0.4046153846153846,0.6065987694265621,-0.8967447004476594,-2.7790270462966506,0.005257495155245278,0.005890092832757538
30,70,1.2,False,650,0.4046153846153846,0.6065987694265621,-0.8967447004476594,-2.7790270462966506,0.005257495155245278,0.005890092832757538
25,75,1.5,False,494,0.4068825910931174,0.5900701567103553,-0.714113442048088,-2.887746077441466,0.0051140534701743035,0.005945522831239327
25,75,1.0,False,494,0.4068825910931174,0.5900701567103553,-0.714113442048088,-2.887746077441466,0.0051140534701743035,0.005945522831239327
25,75,1.2,False,494,0.4068825910931174,0.5900701567103553,-0.714113442048088,-2.887746077441466,0.0051140534701743035,0.005945522831239327
25,65,1.0,False,652,0.3834355828220859,0.5719507896090666,-0.9499130107851854,-3.0835209738685343,0.005077019028558128,0.005520317830658501
25,65,1.2,False,652,0.3834355828220859,0.5719507896090666,-0.9499130107851854,-3.0835209738685343,0.005077019028558128,0.005520317830658501
25,65,1.5,False,652,0.3834355828220859,0.5719507896090666,-0.9499130107851854,-3.0835209738685343,0.005077019028558128,0.005520317830658501
30,65,1.0,False,704,0.39204545454545453,0.5366273231905433,-1.1242148760869433,-3.6000109352792657,0.004717181707191001,0.005668591185214156
30,65,1.2,False,704,0.39204545454545453,0.5366273231905433,-1.1242148760869433,-3.6000109352792657,0.004717181707191001,0.005668591185214156
30,65,1.5,False,704,0.39204545454545453,0.5366273231905433,-1.1242148760869433,-3.6000109352792657,0.004717181707191001,0.005668591185214156
25,70,1.0,True,360,0.37222222222222223,0.5406771528718919,-0.6267655210054097,-3.643540531707367,0.00550579794254671,0.006037798430560483
35,75,1.0,True,437,0.3684210526315789,0.5346463491952572,-0.7467117745456144,-3.684060625571053,0.00532856912132379,0.005813809431444727
35,75,1.2,True,421,0.3681710213776722,0.5343248027008268,-0.7194505460866398,-3.692884968418382,0.005325881205644838,0.0058081283194044726
35,75,1.5,True,400,0.365,0.5272634747546827,-0.7105641587523741,-3.726608643706642,0.005428239120154273,0.005917665631082276
35,70,1.0,True,483,0.37681159420289856,0.5287411474239693,-0.8288119017354183,-3.7631918804337663,0.00510937970500326,0.0058429202925116665
35,70,1.2,True,468,0.3696581196581197,0.5252459531948049,-0.8028576169693298,-3.791961316377738,0.005134361799814791,0.00573254985877047
25,65,1.0,True,436,0.3646788990825688,0.5252577965477735,-0.7612283613683803,-3.8087361952164134,0.005297030853473106,0.005788650783648391
25,70,1.2,True,338,0.363905325443787,0.522359319000832,-0.6215594927793504,-3.8610726969706906,0.0055264421763357085,0.006052613397528569
25,70,1.5,True,322,0.35714285714285715,0.5127882588844028,-0.6109688561132472,-3.9121632358090923,0.005591670342103987,0.006058023891087948
30,70,1.0,True,415,0.3614457831325301,0.5105590016618616,-0.7741144537540876,-3.94796566074996,0.005383435443327975,0.0059684142273708825
25,75,1.5,True,255,0.3568627450980392,0.5104297007118535,-0.507651601818363,-3.971620442325197,0.0058162791607524085,0.006322762228334341
30,70,1.2,True,394,0.35279187817258884,0.5098362786118114,-0.7392358725714965,-3.973227385023347,0.005531689621458979,0.005914277372369782
35,70,1.5,True,449,0.3585746102449889,0.4993806615988162,-0.8371603601422115,-4.038529257485448,0.005186888097343192,0.005806421332689115
30,65,1.0,True,482,0.35684647302904565,0.5044526892816787,-0.8912221166827876,-4.044416042385586,0.005274640032647588,0.005801484523542492
30,65,1.2,True,463,0.35205183585313177,0.5065318566377934,-0.8660604568693376,-4.050089167289522,0.005453913530426938,0.0058501612077630945
35,65,1.2,True,521,0.3723608445297505,0.5030170248744572,-0.9428866979788058,-4.0904775319566475,0.004919250648615349,0.0058019000728140166
25,65,1.2,True,415,0.3566265060240964,0.5022974940389472,-0.7772506446173134,-4.095070743183609,0.0053001792745153795,0.005848978191931046
35,65,1.0,True,539,0.37662337662337664,0.499558794925834,-0.9877048388248928,-4.127721584200726,0.004856961842710753,0.005874012181235641
25,75,1.0,True,287,0.34146341463414637,0.4937540894042343,-0.5864512031230562,-4.179276223611047,0.005836533511446471,0.006129267128279419
25,75,1.2,True,270,0.34814814814814815,0.49094927946605227,-0.5580884067089136,-4.256713799846449,0.0057259917478653995,0.0062291569943651185
25,65,1.5,True,397,0.35768261964735515,0.48442895150536275,-0.7704537913833116,-4.31814146660355,0.005097999879814725,0.005860273624772558
30,75,1.2,True,335,0.34328358208955223,0.483832859888896,-0.6985786806184395,-4.326625589038082,0.005694065969276648,0.006151801214023881
30,70,1.5,True,376,0.34574468085106386,0.4785165733537625,-0.7798292412096881,-4.328976277849979,0.005504433598421892,0.006078884589449325
30,75,1.0,True,354,0.3361581920903955,0.47426232950300556,-0.7414027202842015,-4.375049513728096,0.005620264405548047,0.006000911423593273
30,75,1.5,True,316,0.3449367088607595,0.47477702435412367,-0.6855711028030402,-4.414049083024755,0.00568554346456706,0.00630577459150169
35,65,1.5,True,501,0.3592814371257485,0.4662318276774071,-0.9926417498226109,-4.522122959138042,0.0048169182515958205,0.005793417554859372
30,65,1.5,True,443,0.34988713318284426,0.4607677454419685,-0.931272458645984,-4.633911794569445,0.005133945680870471,0.00599664596937815
